SMED30000044 ASI4B
SMED30018509 GRIP2
SMED30018504 RL30
SMED30018519 GLOD4
SMED30018507 AT2B3
SMED30018527 ANPRA
SMED30018520 METK
SMED30018534 MBL
SMED30018531 GALR2
SMED30018506 TRAC9
SMED30018505 FL2D
SMED30018550 CEP78
SMED30018542 S4A10
SMED30018574 POLR
SMED30018544 F192A
SMED30018559 KRP95
SMED30018571 SCAPE
SMED30018575 C25L2
SMED30018566 TRUA
SMED30018573 TPRKB
SMED30018561 PANK2
SMED30018540 ZBED8
SMED30018554 PO21
SMED30018548 TEGU
SMED30018543 ADCY9
SMED30018556 KPYM
SMED30018600 CALCR
SMED30018578 GBRAL
SMED30018610 OXLT
SMED30018602 DB10
SMED30018576 PPME1
SMED30018604 NCS2
SMED30018592 OVOL2
SMED30018603 REEP6
SMED30018598 SY65
SMED30018588 MSI2H
SMED30018581 UNC7
SMED30018579 CDT1
SMED30018616 ACHB3
SMED30018624 ANK3
SMED30018638 NFX1
SMED30018637 HSP7C
SMED30018626 ABD12
SMED30018630 HMG2
SMED30018643 CO1A2
SMED30018635 F92A1
SMED30018644 TTBK1
SMED30018622 UNC9
SMED30018617 CGL
SMED30018645 UBC21
SMED30018619 CACB1
SMED30018632 M3K3
SMED30018655 C43BP
SMED30018657 PGBD4
SMED30018682 CDK1
SMED30018649 FANCJ
SMED30018665 CD82
SMED30018679 ACHA6
SMED30018671 SNX19
SMED30018650 PTRB
SMED30018667 NLTP
SMED30018659 OTU1
SMED30018675 RHG44
SMED30018660 RAC2
SMED30018689 RBL2
SMED30018700 MLXPL
SMED30018687 TRIM9
SMED30018690 GRIK1
SMED30018694 TRAF3
SMED30018702 VDAC2
SMED30018714 RDHE2
SMED30018697 RRP5
SMED30018718 MVD1
SMED30018709 S5A3A
SMED30018692 SCND3
SMED30018688 TRF6B
SMED30018710 TAF1B
SMED30018684 HIL
SMED30018719 Y3414
SMED30018708 RNF38
SMED30018716 AN32A
SMED30018693 ELOV4
SMED30018755 SUMO3
SMED30018720 VKT3A
SMED30018722 DRI
SMED30018744 GA2PE
SMED30018734 FABH
SMED30018745 TIGD7
SMED30018725 E2AK2
SMED30018736 TBA8
SMED30018728 CC151
SMED30018721 LEXM
SMED30018735 VPS41
SMED30018733 THIE
SMED30018737 ZSA5A
SMED30018729 TCPE
SMED30018731 MORN5
SMED30018747 S15A2
SMED30001912 TPPC2
SMED30001933 GRSF1
SMED30001921 POL3
SMED30001910 SCNNB
SMED30001922 HM01
SMED30001913 HMX1
SMED30001940 TIGD1
SMED30001915 ASPM
SMED30001942 TRAF6
SMED30001914 PO21
SMED30001929 FXL13
SMED30001916 DOK3
SMED30001935 PCDAB
SMED30001939 MBRL
SMED30018775 TYY1
SMED30018783 DPH4
SMED30018781 VAL5
SMED30018790 ZBED5
SMED30018780 ZDH22
SMED30018767 BSDC1
SMED30018788 ODD2
SMED30018760 EFHC2
SMED30018778 PEN2
SMED30018763 MPC2
SMED30018776 KAT7
SMED30018777 JERKL
SMED30018771 KCNB1
SMED30018765 PGBD4
SMED30018766 CE120
SMED30018789 ACSF2
SMED30018804 IR25A
SMED30018792 FOSL
SMED30018801 UNC9
SMED30018810 SMKY
SMED30018797 BAHD1
SMED30018815 SPEF1
SMED30018827 TM165
SMED30018795 PP12C
SMED30018826 M10L1
SMED30018823 PFKA
SMED30018813 BCRH
SMED30018812 NELL1
SMED30018825 RHBL2
SMED30018805 RIBB
SMED30018793 ACES
SMED30018824 GR101
SMED30018839 ZBED5
SMED30018862 CPE1A
SMED30018844 TIGD1
SMED30018828 POL4
SMED30018829 MMP2
SMED30018849 SETMR
SMED30018857 ZN627
SMED30018861 KLC
SMED30018856 GRTP1
SMED30018837 DTL
SMED30018846 GTD2B
SMED30018841 PGBD3
SMED30018832 KGUA
SMED30018843 TECT2
SMED30018863 AT1A1
SMED30018850 EPC1
SMED30018830 SOCS7
SMED30018855 RPGF1
SMED30018842 FCP1
SMED30018858 NOG1
SMED30018834 RBP2
SMED30018854 CYHR1
SMED30018865 TECT1
SMED30018878 PI51A
SMED30018877 RBM39
SMED30018869 DYI2
SMED30018882 YRD6
SMED30018892 TTC36
SMED30018866 DGKZ
SMED30018893 ENKD1
SMED30018879 PZRN3
SMED30018873 NCAM1
SMED30018864 FLVC2
SMED30018883 VPS50
SMED30018872 ATL3
SMED30018899 TSN3
SMED30018884 SARAF
SMED30018886 ACKR4
SMED30018897 GRP1
SMED30018888 SQSTM
SMED30018918 6PGD
SMED30018902 MET15
SMED30018922 PKHB2
SMED30018900 IFT56
SMED30018935 INX5
SMED30018912 ELP4
SMED30018914 POL5
SMED30018931 FCL
SMED30018934 GNRHR
SMED30018970 CALM
SMED30018938 UNC9
SMED30018960 OXA1L
SMED30018964 MED7
SMED30018954 RM12
SMED30018941 SUR8
SMED30018953 ZN532
SMED30018969 VAMP3
SMED30018966 POL3
SMED30018965 GT2D2
SMED30018957 PCDH1
SMED30018946 ANK1
SMED30018940 F200B
SMED30018971 FNBP4
SMED30018948 PBPE
SMED30018939 TTLL4
SMED30018984 PFD2
SMED30018994 PRS6A
SMED30019004 CUL2
SMED30018996 TSN17
SMED30018982 RIN3
SMED30018978 CEGT
SMED30018993 PKCB1
SMED30018986 DDX3X
SMED30019001 RGRF2
SMED30018983 LRP11
SMED30019007 WASF1
SMED30019006 TBB
SMED30018991 RECQ1
SMED30018979 TBB
SMED30018972 RAI14
SMED30018980 POGK
SMED30018988 UBIQP
SMED30018995 PDE7A
SMED30019022 CE164
SMED30019032 CLAP2
SMED30019009 NEUR
SMED30019013 TBB
SMED30019037 TPC
SMED30019011 RAD50
SMED30019040 CP3AC
SMED30019021 IPO5
SMED30019029 T2AG
SMED30019008 WDR89
SMED30019039 TLL1
SMED30019043 CI116
SMED30019041 SVOP
SMED30019062 H2BL1
SMED30019066 POL4
SMED30019046 TEAD4
SMED30019053 ARMT1
SMED30019050 UNC9
SMED30019063 CDC27
SMED30019045 PO21
SMED30019056 MYCT
SMED30019110 TRISR
SMED30019084 DISP1
SMED30019100 FAD1
SMED30019088 RBM10
SMED30019104 TBA2
SMED30019091 POL4
SMED30019094 FLII
SMED30019092 GSTM1
SMED30019093 TIGD4
SMED30019085 RNF41
SMED30019082 S47A2
SMED30019101 DPP6
SMED30019108 POL
SMED30019095 STAR9
SMED30019103 TSN7
SMED30019097 SOX13
SMED30019115 PAR3L
SMED30019099 UPP2
SMED30019080 CTF18
SMED30019089 ICP0
SMED30001978 DERL2
SMED30001979 ARMET
SMED30001958 POU1
SMED30001950 NTRK2
SMED30001973 IF4A
SMED30001964 TMF1
SMED30001945 SF3A3
SMED30001960 IF4G2
SMED30001962 YODA
SMED30001967 POTD
SMED30001970 SAT2
SMED30001975 VASH2
SMED30001953 RABL3
SMED30001977 SUZ12
SMED30001951 NXF1
SMED30001974 AKA10
SMED30001946 LSM10
SMED30001961 MUG
SMED30019117 SEN34
SMED30019119 UBB
SMED30019145 STT3B
SMED30019130 JPH3
SMED30019137 PGBD2
SMED30019149 SPT6H
SMED30019139 CALM
SMED30019142 JMJD6
SMED30019123 PTP69
SMED30019121 BPJ
SMED30019132 ABCB8
SMED30019129 TRAF5
SMED30019136 IDLC
SMED30019141 FYV1
SMED30019126 PANB
SMED30019179 UBP7
SMED30019186 UBP7
SMED30019153 S38AA
SMED30019160 PC
SMED30019176 GALC
SMED30019169 ACH2
SMED30019182 DC1I2
SMED30019171 CDK1
SMED30019185 K1586
SMED30019173 CP3A9
SMED30019157 DUS3L
SMED30019183 TTC12
SMED30019154 GATM
SMED30019167 DOC11
SMED30019184 NDRG3
SMED30019162 TRY2
SMED30019175 NPC2
SMED30019166 YMD3
SMED30019187 NETR
SMED30019202 TBA8
SMED30019204 ATOH8
SMED30019199 SYT15
SMED30019200 FRRS1
SMED30019207 UBP50
SMED30019196 GACS
SMED30019208 PIAS2
SMED30019189 RL37A
SMED30019192 ZNF26
SMED30019205 ELIC
SMED30019223 FA47E
SMED30019201 I5P2
SMED30019212 MPDZ
SMED30019229 DJC21
SMED30019227 PRS27
SMED30019254 POL3
SMED30019246 TIGD6
SMED30019253 R4RL1
SMED30019240 LRIQ3
SMED30019230 RIC1
SMED30019258 CBPC2
SMED30019226 MDGA1
SMED30019250 FBPB1
SMED30019224 PAPOG
SMED30019242 RM19
SMED30019243 UBE2A
SMED30019231 MSRA
SMED30019245 TRF6B
SMED30019275 NBN
SMED30019279 RN170
SMED30019262 HSF1
SMED30019290 2AAA
SMED30019263 NDK
SMED30019269 ARL1
SMED30019266 ZBED5
SMED30019288 CALU
SMED30019289 RBM39
SMED30019274 NDK5
SMED30019287 TBA
SMED30019272 TFC5
SMED30019273 RS3A
SMED30019291 CLN8
SMED30019278 RSSA
SMED30019281 SAT1
SMED30019284 LRRD1
SMED30019292 RNF34
SMED30019306 PDXT
SMED30019317 Y064
SMED30019308 TEX2
SMED30019311 ALR
SMED30019328 ARMC2
SMED30019296 PXDN
SMED30019318 SPAG6
SMED30019322 MET23
SMED30019325 MLRH
SMED30019298 HNRPL
SMED30019307 SIR4
SMED30019300 HDAC6
SMED30019305 CFA52
SMED30019314 ZN474
SMED30019326 RENT1
SMED30019320 STIM
SMED30019324 CLCA
SMED30019323 UNC7
SMED30019309 ZMYM6
SMED30019313 PAX6
SMED30019299 RFP4A
SMED30019297 POLK
SMED30019301 PKHG6
SMED30019330 LR74A
SMED30019327 LR74A
SMED30019348 CARL1
SMED30019366 PIMT
SMED30019351 CTDSL
SMED30019353 HOME2
SMED30019356 NEB2
SMED30019363 KLC2
SMED30019347 NPSR1
SMED30019362 CN10A
SMED30019337 NHR8
SMED30019335 YVBT
SMED30019342 SHAN3
SMED30019336 C102A
SMED30019332 TF2H2
SMED30019367 ASH2
SMED30019393 STAN
SMED30019390 KLDC9
SMED30019401 SPT17
SMED30019397 RPB1
SMED30019388 TM9S4
SMED30019378 EXC6B
SMED30019392 GBB1
SMED30019374 MFS4B
SMED30019399 GARL3
SMED30019373 RB6I2
SMED30019376 PAQRB
SMED30019396 ATX2
SMED30019405 SNPC1
SMED30019429 MRM3A
SMED30019428 LIN41
SMED30019411 KSR2
SMED30019421 KS6A3
SMED30019430 UBA1
SMED30019426 CC146
SMED30019415 POL2
SMED30019435 SUR1
SMED30019413 DMRT2
SMED30019431 CES2
SMED30019420 RL40
SMED30019407 BAG4
SMED30019409 EMC2
SMED30019454 CALM
SMED30019474 FBX10
SMED30019463 POGK
SMED30019465 TRAF6
SMED30019449 CFA54
SMED30019469 KCY1
SMED30019455 UNC97
SMED30019452 CEGT
SMED30019456 DPP2
SMED30019450 KN14C
SMED30019445 SCYL2
SMED30019470 GNPAT
SMED30019472 DOPR1
SMED30019442 UBB
SMED30019471 SY65
SMED30019457 PHOL
SMED30019468 ANM1B
SMED30019444 SETMR
SMED30019459 ISCS
SMED30002002 GRM1A
SMED30001988 PAK1
SMED30001991 TOP2A
SMED30002009 RGS5
SMED30002014 ZC21A
SMED30002001 TIGD6
SMED30001989 NDUB5
SMED30001987 IF2A
SMED30001982 SSH1
SMED30001980 PPM1K
SMED30001990 TIM8
SMED30001985 SYT
SMED30002000 BCKD
SMED30001993 SUR1
SMED30002004 RNOY
SMED30019509 VA5
SMED30019490 LS14B
SMED30019484 NSF1
SMED30019481 B4GT7
SMED30019511 GBF1
SMED30019504 METF
SMED30019487 PDE8A
SMED30019497 STAC
SMED30019480 FLCN
SMED30019505 ATL1
SMED30019483 KINH
SMED30019476 PGBD1
SMED30019507 DGAT1
SMED30019501 UN5BB
SMED30019477 GLU2B
SMED30019502 S43A3
SMED30019494 UFC1
SMED30019537 PP1B
SMED30019547 EXOC3
SMED30019521 POL2
SMED30019517 POL3
SMED30019535 LFG3
SMED30019516 CCNH
SMED30019533 TMM26
SMED30019531 CE290
SMED30019532 TBX20
SMED30019543 TIGD2
SMED30019513 VMS1
SMED30019526 OXA1L
SMED30019527 ACH4
SMED30019540 PIMT
SMED30019528 F120B
SMED30019574 USO1
SMED30019552 WDTC1
SMED30019578 ISY1
SMED30019558 SSRB
SMED30019565 RSH4A
SMED30019556 MYT1L
SMED30019548 Y207
SMED30019560 GIT2
SMED30019555 TIPIN
SMED30019571 M3K3
SMED30019551 VAPB
SMED30019597 ROAA
SMED30019588 NOCT
SMED30019615 TBA8
SMED30019613 FMAR
SMED30019592 GC76C
SMED30019603 TRG
SMED30019612 PZRN3
SMED30019584 EMS
SMED30019616 MAB3
SMED30019590 NOTC3
SMED30019594 LPP
SMED30019634 KPYM
SMED30019623 SRRT
SMED30019647 ATM
SMED30019639 RM45
SMED30019632 TPL2B
SMED30019655 ZBED5
SMED30019652 SYT17
SMED30019628 SETMR
SMED30019621 AMFR
SMED30019620 PPE2
SMED30019649 TSPO
SMED30019625 AT1B1
SMED30019646 LECG
SMED30019642 SYT15
SMED30019641 P52K
SMED30019645 YI31B
SMED30019657 MGST3
SMED30019688 GTD2A
SMED30019659 ADAM9
SMED30019656 SECE
SMED30019663 VMAT2
SMED30019680 MMP19
SMED30019681 XPP1
SMED30019687 PO22
SMED30019686 NOC3L
SMED30019658 MGLL
SMED30019682 LENG8
SMED30019670 DHX33
SMED30019668 SAP
SMED30019676 CRLS1
SMED30019691 P2RY8
SMED30019695 CATL
SMED30019712 GRIA1
SMED30019711 GLGB
SMED30019696 TRIM2
SMED30019703 OCTB3
SMED30019720 NSD3
SMED30019723 GTPB1
SMED30019700 ADCK1
SMED30019698 PRS6B
SMED30019717 IMT3
SMED30019701 YI31B
SMED30019697 ACMSD
SMED30019722 SFRP2
SMED30019725 RGMB
SMED30019702 SRS12
SMED30019715 TPRG1
SMED30019709 RBM22
SMED30019706 RAB5A
SMED30019718 RFC4
SMED30019727 ARM
SMED30019754 CATL
SMED30019741 CD151
SMED30019735 UNC9
SMED30019763 NUDC1
SMED30019756 LRP5
SMED30019742 PGTA
SMED30019729 BEST1
SMED30019745 MPEG1
SMED30019748 SIR5A
SMED30019759 SCND3
SMED30019734 GLIC
SMED30019740 NKX12
SMED30019732 SNX17
SMED30019752 NINL
SMED30019761 SAXO1
SMED30019747 DYH10
SMED30019772 AFAD
SMED30019794 DLGP1
SMED30019786 CDK12
SMED30019797 ST1A2
SMED30019769 ANM8
SMED30019790 SETMR
SMED30019776 MSBA1
SMED30019799 PI3R4
SMED30019793 MOT2
SMED30019771 RHBGB
SMED30019795 EXOC2
SMED30019784 YHJX
SMED30019773 MDH
SMED30019789 NDUS2
SMED30019778 SYDE
SMED30019766 CP089
SMED30019785 TB10B
SMED30019768 FUCL1
SMED30019779 DCST1
SMED30019823 AP3S1
SMED30019810 PTP69
SMED30019831 heavy
SMED30019830 WNK
SMED30019808 ZFP26
SMED30019834 GBLP
SMED30019815 TRAIP
SMED30019829 TCAF2
SMED30019821 LMX1A
SMED30019828 HSP83
SMED30019822 MET24
SMED30019811 HME2B
SMED30019835 PPWD1
SMED30019820 PGBD4
SMED30002049 TTC29
SMED30002031 POL
SMED30002038 CSTN1
SMED30002036 DRE2
SMED30002024 ABCD3
SMED30002023 KDIS
SMED30002047 TRR
SMED30002040 ECE1
SMED30002019 DPOM
SMED30002026 235L
SMED30002016 PO4F3
SMED30002037 RAI1
SMED30002042 ANK1
SMED30019860 RM30
SMED30019851 TIGD2
SMED30019855 MCCB
SMED30019868 ABCA1
SMED30019852 IPYR
SMED30019854 TCAF1
SMED30019836 CC151
SMED30019862 41
SMED30019837 PTPRN
SMED30019871 MTSSL
SMED30019845 GEMI2
SMED30019866 POGK
SMED30019864 GBRG3
SMED30019882 RBNS5
SMED30019903 RL13A
SMED30019898 M3K2
SMED30019893 UB2R2
SMED30019901 ARIP4
SMED30019887 TPM
SMED30019876 RGS3
SMED30019888 ALX4
SMED30019883 TIGD1
SMED30019889 REV1
SMED30019896 KC1A
SMED30019900 SYQ
SMED30019873 PLMN
SMED30019874 CALM
SMED30019877 RHG44
SMED30019878 SF01
SMED30019886 A30BL
SMED30019899 MIOX
SMED30019884 LDB3
SMED30019895 TBA
SMED30019875 DDX52
SMED30019881 PRDX6
SMED30019931 ABCA1
SMED30019910 NEMF
SMED30019928 SCND3
SMED30019933 OLA1
SMED30019927 YN24
SMED30019924 ADAT2
SMED30019942 SHOC2
SMED30019914 DLG1
SMED30019917 RPB7
SMED30019930 MMP13
SMED30019939 S47A2
SMED30019938 SMCA4
SMED30019916 CTNB
SMED30019918 ZBED5
SMED30019920 PGFS
SMED30019908 PK1L2
SMED30019926 WDR38
SMED30019923 ARVC
SMED30019973 LSM7
SMED30019975 WWP1
SMED30019959 NU4M
SMED30019965 HVCN1
SMED30019960 SEPT5
SMED30019956 YG31B
SMED30019962 PPR3E
SMED30019951 STX7
SMED30019972 KIF19
SMED30019945 GRN
SMED30019944 UN50B
SMED30019952 CARM1
SMED30020000 ELAV
SMED30020004 HST21
SMED30019997 TCEA1
SMED30020009 OPSX
SMED30019981 ATRX
SMED30020015 ABCG1
SMED30019985 OSCP1
SMED30019991 SUN2
SMED30020012 ZMYM1
SMED30020007 DTNB
SMED30020014 NTCP
SMED30019995 PGBD4
SMED30019984 VATG2
SMED30019994 CSP1
SMED30020039 B9D1
SMED30020036 ZBED5
SMED30020022 ETS4
SMED30020040 RT23
SMED30020035 DPOG1
SMED30020038 ACTN2
SMED30020026 S35A3
SMED30020019 IF4G3
SMED30020046 PUR1
SMED30020033 TRAF6
SMED30020050 FA98B
SMED30020017 TOX4
SMED30020016 POL2
SMED30020044 DUS14
SMED30020060 PAR4
SMED30020086 CC157
SMED30020068 ROST
SMED30020065 TRAF5
SMED30020059 LSM1
SMED30020064 MBTP2
SMED30020078 KC15L
SMED30020082 CASP6
SMED30020085 PLK1
SMED30020072 PGBD4
SMED30020058 PGBM
SMED30020053 RFP4A
SMED30020070 HMGB2
SMED30020055 GBRG3
SMED30020067 RL31B
SMED30020056 HSP7A
SMED30020054 SPT6H
SMED30020114 REXO4
SMED30020109 CRSPL
SMED30020116 PTPRB
SMED30020108 SPRTN
SMED30020101 YJCS
SMED30020092 TBC31
SMED30020090 ZN541
SMED30020102 BPL1
SMED30020115 CPSD
SMED30020104 HSP83
SMED30020136 PIGN
SMED30020124 RRS1
SMED30020134 IMT3
SMED30020155 PO21
SMED30020130 S5A1
SMED30020153 TRAF3
SMED30020159 PP4C
SMED30020142 PIF1
SMED30020139 YMD3
SMED30020158 TLN2
SMED30020129 HM19
SMED30020126 TBB
SMED30020132 TBCK
SMED30020168 JNK
SMED30020161 SCND3
SMED30020195 RBL2A
SMED30020173 NDUA9
SMED30020180 SNR27
SMED30020174 TRPM1
SMED30020178 UBP4
SMED30020179 IDE
SMED30020194 TBB2
SMED30002078 CFA97
SMED30002060 RIR2
SMED30002067 SH2D5
SMED30002064 DCDC2
SMED30002072 NF60
SMED30002074 PSD1
SMED30002084 GPI11
SMED30002087 F200A
SMED30002068 RAE1
SMED30002065 Y381
SMED30002076 MIF
SMED30002075 U2D2B
SMED30002080 PHAR1
SMED30002070 TRAF3
SMED30002062 RERG
SMED30020230 KINH
SMED30020216 LSM3
SMED30020215 ANXA7
SMED30020221 PGBD4
SMED30020213 TENS1
SMED30020209 SY65
SMED30020218 UBP2
SMED30020225 YNIC
SMED30020212 KPCA
SMED30020198 NC2B
SMED30020224 IMPA1
SMED30020220 AT1A
SMED30020197 ASI4A
SMED30020210 VKT3A
SMED30020202 ZN281
SMED30020227 RM49
SMED30020199 A4
SMED30020264 MTA70
SMED30020234 KDIS
SMED30020237 SELTB
SMED30020260 LRGUK
SMED30020238 CBY1
SMED30020233 HEM2
SMED30020256 DYL1
SMED30020244 M3K1
SMED30020261 HSP70
SMED30020254 RGS3
SMED30020235 UBP2
SMED30020267 INX3
SMED30020247 STO2
SMED30020232 MOS1T
SMED30020245 CT024
SMED30020288 OLA1
SMED30020280 TRA1
SMED30020297 MED1
SMED30020296 APLP
SMED30020283 EGL13
SMED30020285 ZBED8
SMED30020282 CNPY2
SMED30020269 MYPH
SMED30020291 CE104
SMED30020268 MARF
SMED30020276 UBX2
SMED30020289 PLOD1
SMED30020273 KPYM
SMED30020270 YMD3
SMED30020284 ZDHC3
SMED30020290 POL2
SMED30020281 FBX42
SMED30020287 TM208
SMED30020318 WDR49
SMED30020330 FXR1B
SMED30020317 HS90A
SMED30020333 C2D1
SMED30020320 GDPD1
SMED30020331 GWL
SMED30020326 GSA
SMED30020327 PSMD4
SMED30020335 POL2
SMED30020316 LNX2
SMED30020334 PIRL2
SMED30020325 LIN54
SMED30020310 FA46C
SMED30020321 FLTOP
SMED30020313 ZBED5
SMED30020312 DEAH6
SMED30020315 DPP6
SMED30020336 TTL12
SMED30020311 GCP60
SMED30020359 FGRL1
SMED30020341 TF3C5
SMED30020360 TNNI4
SMED30020352 TRPE
SMED30020343 ITSN1
SMED30020355 SH3K1
SMED30020340 UBP21
SMED30020365 EDC4
SMED30020356 MTCH2
SMED30020344 PANK2
SMED30020362 POL3
SMED30020375 PHF5A
SMED30020371 HMCN1
SMED30020347 TRPCG
SMED30020361 PIEZ1
SMED30020370 RPB1
SMED30020386 TPX2
SMED30020410 MITF
SMED30020398 KI16B
SMED30020397 VKT5
SMED30020382 PGBD4
SMED30020377 SLA1
SMED30020379 HDC
SMED30020390 TWK7
SMED30020404 SRA
SMED30020405 TFC5
SMED30020376 OSTF1
SMED30020395 HSPB8
SMED30020401 TRAF3
SMED30020388 GPDM
SMED30020394 RAB7
SMED30020421 S15A4
SMED30020431 CSN4
SMED30020447 PDCD7
SMED30020438 GSK3
SMED30020432 UNC7
SMED30020435 MYS
SMED30020433 OXLT
SMED30020424 SPA4
SMED30020423 CTNS
SMED30020416 KCNN1
SMED30020418 XB36
SMED30020444 HIBCH
SMED30020430 HACD3
SMED30020439 DDC
SMED30020445 SASH1
SMED30020437 GRIK2
SMED30020436 NDE1
SMED30020462 ARCH
SMED30020479 CB069
SMED30020467 CTR1
SMED30020469 LIMD2
SMED30020450 KCNN2
SMED30020470 NDUS4
SMED30020449 VLDLR
SMED30020477 DOT1L
SMED30020478 PXDN
SMED30020488 CEPU1
SMED30020511 JERKL
SMED30020507 TBA3
SMED30020516 SETMR
SMED30020487 RTXE
SMED30020489 TLK2
SMED30020501 NEUL2
SMED30020504 PP4C
SMED30020518 XKR6
SMED30020497 SVOP
SMED30020509 CLCN2
SMED30020485 PPP5
SMED30020526 ZDHC2
SMED30020542 SBNO
SMED30020538 BACA
SMED30020539 CSPG2
SMED30020525 DYI2
SMED30020551 LCFA
SMED30020522 AP2A
SMED30020521 GPAT3
SMED30020553 CC124
SMED30020534 RNT2
SMED30020555 TDG
SMED30020552 PDCD6
SMED30002123 GTD2A
SMED30002098 CBPN
SMED30002106 IWS1
SMED30002101 SCND3
SMED30002108 MOCS3
SMED30002110 CATC
SMED30002091 GTR3
SMED30002117 CDON
SMED30002120 SAE2
SMED30002100 MED18
SMED30002092 ATPB1
SMED30002102 SCND3
SMED30002115 POL2
SMED30002116 YAAX
SMED30002112 CDYL2
SMED30020563 GCNT1
SMED30020556 CDC73
SMED30020566 DYHC
SMED30020558 TM143
SMED30020567 S35B4
SMED30020565 CPSF3
SMED30020562 RNH1
SMED30020578 PP4C
SMED30020573 ASI1B
SMED30020571 TTLL3
SMED30020588 VGLU2
SMED30020591 INT3
SMED30020574 DYH1
SMED30020582 TBA3
SMED30020570 DNLI4
SMED30020584 ASM3B
SMED30020569 ACT2
SMED30020609 MOS1T
SMED30020607 TRAF2
SMED30020612 POLR
SMED30020594 NPY
SMED30020606 S35A1
SMED30020618 DCST2
SMED30020593 ENPL
SMED30020592 ASIC2
SMED30020621 SPR
SMED30020599 MGAT2
SMED30020627 EMAL1
SMED30020615 PHB2
SMED30020616 ZDHC2
SMED30020617 SHLB1
SMED30020598 PP1R7
SMED30020614 DDX5
SMED30020620 BSH
SMED30020597 GPR54
SMED30020602 CBPA2
SMED30020626 BOLL
SMED30020600 KMO
SMED30020631 TRPC6
SMED30020643 CA158
SMED30020658 DNJC4
SMED30020660 GRM3
SMED30020646 MOT12
SMED30020630 Y1388
SMED30020654 PK1L2
SMED30020662 NPC2
SMED30020653 ANO1
SMED30020636 CA228
SMED30020650 ACMSD
SMED30020628 P4K2A
SMED30020640 MGME1
SMED30020644 PCT2B
SMED30020655 POL3
SMED30020651 SPTSB
SMED30020652 IF4G3
SMED30020669 PZP
SMED30020683 VATO
SMED30020678 GBG1
SMED30020686 TM216
SMED30020692 MPV17
SMED30020677 RPB1
SMED30020675 HIRA
SMED30020684 FAS2
SMED30020687 PYR1
SMED30020667 SPR
SMED30020676 GDPD1
SMED30020688 PYGL
SMED30020689 E74EA
SMED30020665 RN185
SMED30020674 RL403
SMED30020682 PO21
SMED30020699 MAP11
SMED30020666 QRIC2
SMED30020728 GTD2A
SMED30020735 NRKA
SMED30020731 ZBED8
SMED30020714 XCT
SMED30020704 PME1
SMED30020722 AP5M1
SMED30020719 FCP1
SMED30020730 DOP1
SMED30020701 ACADL
SMED30020726 ZAN
SMED30020717 TI50C
SMED30020710 SCOT
SMED30020711 LKAM1
SMED30020700 IGBP1
SMED30020713 LHX2
SMED30020724 PDE4C
SMED30020732 POL2
SMED30020706 NOTC2
SMED30020763 MACO1
SMED30020754 SYV
SMED30020746 ANO7
SMED30020757 CDK14
SMED30020748 TBA
SMED30020752 ERCC8
SMED30020765 TEGU
SMED30020766 RMND1
SMED30020736 NOP5B
SMED30020767 UBE4B
SMED30020750 PGBD4
SMED30020740 SMT3
SMED30020738 CHAC1
SMED30020749 RLA2
SMED30020755 CUBN
SMED30020739 TRAA
SMED30020778 ORCT
SMED30020805 DAPA
SMED30020795 SELO
SMED30020804 TBE
SMED30020776 RS21
SMED30020800 MIB
SMED30020793 ZMYM1
SMED30020779 PDE11
SMED30020797 POGK
SMED30020773 DXS
SMED30020807 PHR4B
SMED30020791 TIGD1
SMED30020816 CATC
SMED30020829 HOW
SMED30020841 CHER3
SMED30020828 TTL10
SMED30020839 MADD
SMED30020817 FCP1
SMED30020824 S39AD
SMED30020840 RCN2V
SMED30020825 S13A1
SMED30020813 SNX3
SMED30020834 STXB2
SMED30020858 SPON1
SMED30020863 MRC1
SMED30020865 TRHDE
SMED30020845 CA194
SMED30020872 MYO1E
SMED30020851 BND7A
SMED30020852 PP16A
SMED30020860 ZMYM6
SMED30020869 SCND3
SMED30020844 KCNC4
SMED30020868 MOT14
SMED30020867 KDSA
SMED30020848 PCKGC
SMED30020874 STK4
SMED30020862 TRPCG
SMED30020897 MCE1
SMED30020892 CC151
SMED30020914 DAP1
SMED30020884 RD23B
SMED30020887 KPYM
SMED30020896 POL3
SMED30020895 PAXI1
SMED30020890 PSF2
SMED30020880 DDX58
SMED30020903 THOC2
SMED30020889 PIGT
SMED30020891 DCUP
SMED30002152 ASAP2
SMED30002151 SAP18
SMED30002141 TRAF2
SMED30002142 SARDH
SMED30002129 ODPB
SMED30002139 VMP1
SMED30002135 F200A
SMED30002131 NRDC
SMED30002145 HEAT4
SMED30002133 UBIQP
SMED30002138 S36A4
SMED30002158 OCTB1
SMED30002140 INT4
SMED30020942 TRI33
SMED30020916 RS3
SMED30020941 B3GT1
SMED30020934 TRAF5
SMED30020924 PP4C
SMED30020940 SGSM1
SMED30020945 GTD2A
SMED30020919 PGBD4
SMED30020918 ADX
SMED30020929 PP4R1
SMED30020948 DYL1
SMED30020946 DHX8
SMED30020931 MOT14
SMED30020951 ZMYM6
SMED30020936 VATC
SMED30020925 PRP8
SMED30020978 TM86A
SMED30020960 SETMR
SMED30020964 MOCS3
SMED30020969 SIK2
SMED30020985 BEST1
SMED30020972 MOB2
SMED30020953 FZD5
SMED30020981 NDRG3
SMED30020958 DOCK7
SMED30020974 TOP2B
SMED30020957 SNRPA
SMED30020956 LYAG
